case_name,seed_count,method,mean_final_hv,std_final_hv,mean_normalized_final_hv,std_normalized_final_hv,mean_auc_hv,std_auc_hv,mean_normalized_auc_hv,std_normalized_auc_hv,mean_archive_size,mean_direction_coverage,mean_runtime,win_rate_vs_nsga2,win_rate_vs_moead,win_rate_vs_classical_seeded_ea,win_rate_vs_fixed_qaoa,users,channels,feasible_space_size,budget,conflict_level
high_conflict_tradeoff_case,3,Random,0.829203538944323,0.04319702342474291,0.8335159173731944,0.017867910318441205,0.7563540880967278,0.06477588289677126,0.7593882094367626,0.040831610556533914,18.333333333333332,0.5,0.20389827092488602,0.3333333333333333,0.3333333333333333,0.0,0.0,8,3,6561,400,very_high
interference_dominated_8x3,3,AI-Adaptive Pareto-QAOA,1.0116696475960645,0.012455558736548581,0.9930268286102594,0.007508179865621327,0.9065883187974842,0.01830712729143252,0.8898820802116515,0.01577141930536043,48.0,0.8333333333333334,2.972339948018392,1.0,1.0,0.6666666666666666,0.6666666666666666,8,3,6561,300,high
interference_dominated_8x3,3,Classical-Seeded Evolutionary MOO,0.9325653321135255,0.010662504822326757,0.9153703728431895,0.003566900474446308,0.9154168573023701,0.0075241397710793505,0.8985608387562819,0.0015548412116495843,31.0,0.6666666666666666,0.17856510480244955,1.0,1.0,0.0,0.6666666666666666,8,3,6561,300,high
interference_dominated_8x3,3,Fixed Pareto-QAOA,1.0167586490097291,0.007428644197551415,0.9980431223871656,0.001385821225447558,0.909997425816635,0.012207012670636015,0.8933184535371258,0.015141773503004404,55.666666666666664,0.8333333333333334,3.0125264326731362,1.0,1.0,0.3333333333333333,0.0,8,3,6561,300,high
interference_dominated_8x3,3,MOEA/D-style,0.919146570893571,0.03358524475900648,0.9020522834789846,0.027056541465140305,0.765397506440426,0.05938466442014776,0.7510927751578612,0.05500399935068516,27.0,0.6,1.0644005139668782,0.3333333333333333,0.0,0.0,0.0,8,3,6561,300,high
interference_dominated_8x3,3,NSGA-II-style,0.8697015780442306,0.02536156812735519,0.8537035426955532,0.024559725379572354,0.7698578426098335,0.050739940848224724,0.75566321326833,0.04923591001054851,26.333333333333332,0.5666666666666667,1.0480079650878906,0.0,0.6666666666666666,0.0,0.0,8,3,6561,300,high
interference_dominated_8x3,3,Quantum-Seeded Evolutionary MOO,1.0134660864850462,0.008876427941336246,0.9947997931901235,0.0015148133259118447,0.9922070882497142,0.009992865301007722,0.9739242653193388,0.00316488389423828,51.666666666666664,0.8000000000000002,0.2763357957204183,1.0,1.0,1.0,1.0,8,3,6561,300,high
interference_dominated_8x3,3,Random,0.8610603819288638,0.029430967172541383,0.8452596214111402,0.029720760983727716,0.7489590051864249,0.03983930203465124,0.7352365861302594,0.0399965324202381,21.666666666666668,0.5,0.18623328208923337,0.3333333333333333,0.3333333333333333,0.0,0.0,8,3,6561,300,high
throughput_dominated_8x3,3,AI-Adaptive Pareto-QAOA,1.203592631915381,0.0209394730777619,0.9982737510894157,0.0012413652255357768,1.078256073525922,0.027036500035201756,0.8943712196934513,0.01861121208133557,32.0,0.6999999999999998,2.924373149871826,1.0,1.0,1.0,0.0,8,3,6561,300,high
throughput_dominated_8x3,3,Classical-Seeded Evolutionary MOO,1.1077170901331046,0.052821238328367,0.9182852611440934,0.028512861532498657,1.0510142680539696,0.031016020139459876,0.8715844227114448,0.01367972668848066,16.0,0.43333333333333335,0.1264440218607584,1.0,1.0,0.0,0.0,8,3,6561,300,high
throughput_dominated_8x3,3,Fixed Pareto-QAOA,1.2026210341047807,0.020975784805079944,0.9974713581456273,0.0030437156005780073,1.0842905617701575,0.02660317385192494,0.8993315528668662,0.01580588183460644,30.666666666666668,0.6999999999999998,2.615391731262207,1.0,1.0,1.0,0.0,8,3,6561,300,high
throughput_dominated_8x3,3,MOEA/D-style,1.053420688475296,0.02426636627655217,0.8739794756333322,0.024959031624511848,0.9124154286019568,0.06260468832367502,0.7571469017867046,0.05526158893066556,13.666666666666666,0.5333333333333333,0.5147000153859457,0.6666666666666666,0.0,0.0,0.0,8,3,6561,300,high
throughput_dominated_8x3,3,NSGA-II-style,1.0248988083223072,0.056171161376126474,0.849575770653222,0.0335031002278287,0.8876223794729116,0.05432348295985141,0.7359930091226384,0.03891187466268895,15.666666666666666,0.5,0.9903053442637125,0.0,0.3333333333333333,0.0,0.0,8,3,6561,300,high
