case_name,seed,iteration,phase,selected_action,selected_weight_index,w1,w2,w3,w_throughput,w_interference,w_energy,cvar_alpha,hv_before,hv_after,delta_hv,normalized_hv_before,normalized_hv_after,delta_normalized_hv,archive_size_before,archive_size_after,archive_size,delta_archive_size,coverage_before,coverage_after,delta_coverage,feasibility_rate,valid_sample_efficiency,duplicate_rate,num_unique_samples,num_non_dominated_candidates,num_archive_additions,penalty,shots,n_most_prob,substitution_factor,candidate_selection_mode,warm_start_mode,parameter_transfer_mode,reward,selection_score,exploration_bonus,exploitation_score,coverage_novelty_score,stagnation_counter,reason_for_action,method
main_dense_small_cell,0,2,warmup,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.24200000000000005,0.6624247602520371,0.7274157812679121,0.06499102101587495,0.6624247602520371,0.7274157812679121,0.06499102101587495,3,3,3,0,0.3,0.3,0.0,1.0,1.0,0.0,10,10,0,20.0,96,10,2,diverse,none,nearest_weight,0.11174558738925341,,0.0,0.0,0.7,0,warmup_sweep,Adaptive weights + CVaR
main_dense_small_cell,0,1,warmup,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.6624247602520371,0.6624247602520371,0.0,0.6624247602520371,0.6624247602520371,0,3,3,3,0.0,0.3,0.3,1.0,0.3,0.0,10,3,3,20.0,96,10,2,diverse,none,nearest_weight,0.8902647451386493,,0.0,0.0,1.0,0,warmup_sweep,Adaptive weights + diversity
main_dense_small_cell,0,2,warmup,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.6624247602520371,0.7274157812679121,0.06499102101587495,0.6624247602520371,0.7274157812679121,0.06499102101587495,3,3,3,0,0.3,0.3,0.0,1.0,1.0,0.0,10,10,0,20.0,96,10,2,diverse,none,nearest_weight,0.11174558738925341,,0.0,0.0,0.7,0,warmup_sweep,Adaptive weights + diversity
main_dense_small_cell,0,1,warmup,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.22000000000000003,0.0,0.6624247602520371,0.6624247602520371,0.0,0.6624247602520371,0.6624247602520371,0,3,3,3,0.0,0.3,0.3,1.0,0.3,0.0,10,3,3,20.0,96,10,2,diverse,none,nearest_weight,0.8902647451386493,,0.0,0.0,1.0,0,warmup_sweep,Full AI-Adaptive Pareto-QAOA
main_dense_small_cell,0,2,warmup,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.24200000000000005,0.6624247602520371,0.7274157812679121,0.06499102101587495,0.6624247602520371,0.7274157812679121,0.06499102101587495,3,3,3,0,0.3,0.3,0.0,1.0,1.0,0.0,10,10,0,20.0,96,10,2,diverse,none,nearest_weight,0.11174558738925341,,0.0,0.0,0.7,0,warmup_sweep,Full AI-Adaptive Pareto-QAOA
main_dense_small_cell,0,1,replay,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.6758461618013619,0.6758461618013619,0.0,0.6758461618013619,0.6758461618013619,0,10,10,10,0.0,0.5,0.5,1.0,1.0,0.0,10,10,10,20.0,96,10,2,diverse,none,nearest_weight,1.293036578069267,0.0,0.0,0.0,1.0,0,replay_recorded_adaptive_schedule,Replay-Adaptive Schedule
main_dense_small_cell,0,2,replay,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.6758461618013619,0.7419254045644794,0.0660792427631175,0.6758461618013619,0.7419254045644794,0.0660792427631175,10,13,13,3,0.5,0.5,0.0,1.0,1.0,0.0,10,10,3,20.0,96,10,2,diverse,none,nearest_weight,0.2627811414106549,1.0,0.0,0.0,0.5,0,replay_recorded_adaptive_schedule,Replay-Adaptive Schedule
main_dense_small_cell,1,1,fixed,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8382544737566487,0.8382544737566487,0.0,0.8382544737566487,0.8382544737566487,0,3,3,3,0.0,0.3,0.3,1.0,0.3,0.0,10,3,3,20.0,96,10,2,diverse,none,nearest_weight,1.0742570102135565,0.0,0.0,0.0,1.0,0,fixed_cyclic_schedule,Fixed Pareto-QAOA
main_dense_small_cell,1,2,fixed,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.8382544737566487,0.841002261527817,0.002747787771168242,0.8382544737566487,0.841002261527817,0.002747787771168242,3,5,5,2,0.3,0.3,0.0,1.0,1.0,0.0,10,10,2,20.0,96,10,2,diverse,none,nearest_weight,0.1525694521819869,1.0,0.0,0.0,0.7,0,fixed_cyclic_schedule,Fixed Pareto-QAOA
main_dense_small_cell,1,1,warmup,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.70403101458675,0.70403101458675,0.0,0.70403101458675,0.70403101458675,0,10,10,10,0.0,0.6,0.6,1.0,1.0,0.0,10,10,10,20.0,96,10,2,diverse,none,nearest_weight,1.3538600742804086,,0.0,0.0,1.0,0,warmup_sweep,Adaptive weights only
main_dense_small_cell,1,2,warmup,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.70403101458675,0.835924827602832,0.13189381301608205,0.70403101458675,0.835924827602832,0.13189381301608205,10,14,14,4,0.6,0.5,-0.09999999999999998,1.0,1.0,0.0,10,10,4,20.0,96,10,2,diverse,none,nearest_weight,0.35803370473537605,,0.0,0.0,0.4,0,warmup_sweep,Adaptive weights only
