case_name,seed_count,method,mean_final_hv,std_final_hv,mean_normalized_final_hv,std_normalized_final_hv,mean_auc_hv,std_auc_hv,mean_normalized_auc_hv,std_normalized_auc_hv,mean_archive_size,mean_direction_coverage,mean_runtime,win_rate_vs_nsga2,win_rate_vs_moead,win_rate_vs_classical_seeded_ea,win_rate_vs_fixed_qaoa,users,channels,feasible_space_size,budget,conflict_level
low_conflict_8x3,5,Fixed Pareto-QAOA,1.3370479920786469,0.07669537456478538,0.9965212002727013,0.004376897310516814,1.19080848789776,0.06690144159419548,0.8876529330032659,0.010067918944455741,28.0,0.6199999999999999,3.0217616081237795,1.0,1.0,0.6,0.0,8,3,6561,300,low
low_conflict_8x3,5,MOEA/D-style,1.1991025256556063,0.06508624304844092,0.8948710384831244,0.04069535690207754,1.0616020315194454,0.09757548619157856,0.7912301464904343,0.05479303547645202,14.0,0.48,0.5263259887695313,0.4,0.0,0.0,0.0,8,3,6561,300,low
low_conflict_8x3,5,NSGA-II-style,1.1990287506939112,0.08148989933407073,0.8933536178884985,0.022135943894851018,1.0606983395319474,0.0710108317538343,0.7911162330187068,0.03843069725023338,21.2,0.48,1.030912494659424,0.0,0.6,0.0,0.0,8,3,6561,300,low
low_conflict_8x3,5,Quantum-Seeded Evolutionary MOO,1.3354035404758542,0.07349637643117134,0.9954279852337311,0.0036207618903065617,1.314748521602302,0.07515437986009259,0.9799095127822047,0.0034013507883801537,29.8,0.58,0.19092006683349605,1.0,1.0,1.0,1.0,8,3,6561,300,low
low_conflict_8x3,5,Random,1.1303564376327258,0.07407080228268863,0.8421298356100259,0.01242775123920828,1.0330792131278919,0.0801273455425351,0.7691704826506047,0.022975873608461355,14.8,0.44000000000000006,0.1357861042022705,0.4,0.2,0.0,0.0,8,3,6561,300,low
medium_conflict_8x3,3,AI-Adaptive Pareto-QAOA,1.0267226160190224,0.02275808831810795,0.989816506740908,0.010272630998222123,0.9115243274587126,0.02025256981383696,0.8788094583231274,0.01334138067875403,25.666666666666668,0.5,2.82584015528361,1.0,1.0,0.0,0.3333333333333333,8,3,6561,300,medium
medium_conflict_8x3,3,Classical-Seeded Evolutionary MOO,0.9598789993129957,0.019059285500211,0.9254573886547394,0.012747003677820662,0.9343490928954736,0.011366132973536886,0.9012172888994957,0.02497545284595884,14.0,0.5666666666666667,0.10833279291788733,1.0,1.0,0.0,0.6666666666666666,8,3,6561,300,medium
medium_conflict_8x3,3,Fixed Pareto-QAOA,1.0324245559352987,0.03401928556161323,0.9949711252228153,0.002901997215132787,0.9231184256130915,0.03982200627891968,0.8894294439645346,0.016694687872840754,26.0,0.5333333333333333,2.826997915903727,1.0,1.0,0.3333333333333333,0.0,8,3,6561,300,medium
medium_conflict_8x3,3,MOEA/D-style,0.8865895268502494,0.03301717092975213,0.8562764492712459,0.05749618294355229,0.7419835650469374,0.03719690689112305,0.7169212133699014,0.05741755598082638,12.0,0.5333333333333333,0.5502437750498453,0.6666666666666666,0.0,0.0,0.0,8,3,6561,300,medium
medium_conflict_8x3,3,NSGA-II-style,0.8744201147502378,0.053377891984509505,0.8419575894233646,0.024720067784112513,0.7514626295516861,0.043566265847404355,0.7237820720753082,0.02482064810111263,12.666666666666666,0.3666666666666667,0.9574271043141683,0.0,0.3333333333333333,0.0,0.0,8,3,6561,300,medium
medium_conflict_8x3,3,Quantum-Seeded Evolutionary MOO,1.0338604217809626,0.034218804011490675,0.9963473438524076,0.000563962619173515,1.0165804876913054,0.03408388949278409,0.979683466617352,0.0028931983402042034,29.0,0.5666666666666667,0.1725966930389404,1.0,1.0,1.0,1.0,8,3,6561,300,medium
medium_conflict_8x3,3,Random,0.8772988251599044,0.050435681335965835,0.8448141732051392,0.02082641322448961,0.7493990285755139,0.03594413207281521,0.7219211981003456,0.014041227007722352,14.0,0.43333333333333335,0.14524833361307773,0.6666666666666666,0.3333333333333333,0.0,0.0,8,3,6561,300,medium
