case_name,delta_final_hv_vs_nsga2,delta_auc_hv_vs_nsga2,delta_normalized_final_hv_vs_nsga2,delta_normalized_auc_hv_vs_nsga2,win_rate_final_hv_vs_nsga2,win_rate_auc_hv_vs_nsga2,delta_final_hv_vs_moead,delta_auc_hv_vs_moead,delta_normalized_final_hv_vs_moead,delta_normalized_auc_hv_vs_moead,win_rate_final_hv_vs_moead,win_rate_auc_hv_vs_moead,delta_final_hv_vs_classical_seeded_ea,delta_auc_hv_vs_classical_seeded_ea,delta_normalized_final_hv_vs_classical_seeded_ea,delta_normalized_auc_hv_vs_classical_seeded_ea,win_rate_final_hv_vs_classical_seeded_ea,win_rate_auc_hv_vs_classical_seeded_ea,users,channels,feasible_space_size,budget,conflict_level
main_budget_100,0.2690018219149441,0.30277826063617974,0.2616435354438798,0.29420182750256063,1.0,1.0,0.2884289765382772,0.38023770052300393,0.27968832978145003,0.36926453405379744,1.0,1.0,0.12643653312468292,0.12146145530008119,0.12326599524515518,0.11785482812006094,1.0,1.0,8,3,6561,100,high
main_budget_200,0.19267814078074996,0.2658494383464674,0.1881283211925668,0.2586198209038068,1.0,1.0,0.19360482278259927,0.3132989278231578,0.18826233239378232,0.3041446844183976,1.0,1.0,0.07856491057340613,0.0712521762960504,0.07685981812317495,0.06963805835108654,1.0,1.0,8,3,6561,200,high
main_budget_300,0.14212275191745752,0.2359126865898882,0.1389819842309179,0.22973018113270557,1.0,1.0,0.13181082423340854,0.26208644963263655,0.1286002949652396,0.25460192246559404,1.0,1.0,0.03979983281492042,0.05157676092686166,0.039100324334943114,0.05035301880293719,1.0,1.0,8,3,6561,300,high
main_budget_500,0.0988617720606556,0.2077156412034317,0.09659482169010421,0.2023953889242969,1.0,1.0,0.08725650679364123,0.22406217006072773,0.08553010564750463,0.21782911559722273,1.0,1.0,0.03661179440930969,0.041737258647271736,0.03580085034402847,0.04061156135974331,1.0,1.0,8,3,6561,500,high
main_budget_800,0.061148721380136196,0.2077156412034317,0.05963112590447228,0.2023953889242969,1.0,1.0,0.08178419155369128,0.22406217006072773,0.0801657298981399,0.21782911559722273,1.0,1.0,0.022348912233405332,0.037011711334974606,0.02180022487052073,0.03592855798469211,1.0,1.0,8,3,6561,800,high
main_dense_small_cell,0.13663309225088366,0.23418218544976527,0.13416466231313323,0.22919500056438996,1.0,1.0,0.12318398852587809,0.24574527451453476,0.12052820758961372,0.2399576858617813,1.0,1.0,0.06711361631041841,0.07431868944808846,0.06679392288774895,0.07361398745483254,1.0,1.0,8,3,6561,300,high
medium_conflict_8x3,0.15944030703072468,0.26511785813961924,0.1543897544290431,0.2559013945420437,1.0,1.0,0.14727089493071313,0.2745969226443681,0.14007089458116184,0.26276225324745045,1.0,1.0,0.07398142246796695,0.08223139479583179,0.07088995519766828,0.07846617771785624,1.0,1.0,8,3,6561,300,medium
scale_10x3,0.14369423676428703,0.25446100483620726,0.15241085758517625,0.270081968977866,1.0,1.0,0.08856513945564196,0.22160662727585007,0.09365402073979115,0.23486416927446774,1.0,1.0,0.06526117200164505,0.0729452177188796,0.06883467109688346,0.07678714731514844,1.0,1.0,10,3,59049,500,high
scale_6x3,0.1587050561261717,0.24056496417872764,0.13922122454182728,0.20983600036995095,1.0,1.0,0.0653451236736795,0.16315231067806843,0.05745232189079471,0.14231079849730446,1.0,1.0,0.07900837262531939,0.0972562883382937,0.06812899389251333,0.0841711138952983,1.0,1.0,6,3,729,200,medium
scale_9x3,0.12086563394464836,0.20202052202064236,0.12665231012539188,0.208520947460228,1.0,1.0,0.08530897178788333,0.19155835882590672,0.08774388271924191,0.19624268117112598,1.0,1.0,0.08070001921135198,0.08758028337471235,0.08269190710563494,0.08969414444327058,1.0,1.0,9,3,19683,400,high
throughput_dominated_8x3,0.1768753370047945,0.2914134733490295,0.14716729559588249,0.24189973872795037,1.0,1.0,0.14835345685180568,0.2666204242199843,0.12276359061577224,0.22074584606388414,1.0,1.0,0.09405705519399706,0.1280215847679714,0.07845780510501126,0.10630832513914408,1.0,1.0,8,3,6561,300,high
