case_name,method,mean_final_hv,std_final_hv,mean_auc_hv,std_auc_hv,mean_normalized_final_hv,std_normalized_final_hv,mean_normalized_auc_hv,std_normalized_auc_hv,mean_direction_coverage,std_direction_coverage,win_rate_final_hv_vs_fixed,win_rate_auc_hv_vs_fixed,win_rate_coverage_vs_fixed,median_improvement_vs_fixed,best_seed,worst_seed
high_conflict_tradeoff_case,Adaptive CVaR only,0.7802161461530267,0.09579085957419405,0.5564354406931106,0.0711862278119048,0.7809756248815998,0.08441565984187305,0.5574240518802407,0.06963122398273112,0.54,0.07999999999999999,0.2,0.2,0.6,-0.057939582851116445,4,2
high_conflict_tradeoff_case,Adaptive candidate diversity only,0.7802161461530267,0.09579085957419405,0.5564354406931106,0.0711862278119048,0.7809756248815998,0.08441565984187305,0.5574240518802407,0.06963122398273112,0.54,0.07999999999999999,0.2,0.2,0.6,-0.057939582851116445,4,2
high_conflict_tradeoff_case,Adaptive resources only,0.7802161461530267,0.09579085957419405,0.5564354406931106,0.0711862278119048,0.7809756248815998,0.08441565984187305,0.5574240518802407,0.06963122398273112,0.54,0.07999999999999999,0.2,0.2,0.6,-0.057939582851116445,4,2
high_conflict_tradeoff_case,Adaptive weights + CVaR,0.7927627290130148,0.07810448583610555,0.5595720864081077,0.06858406622013433,0.7940025717459029,0.06986788936104804,0.5606807885963165,0.06784786297595997,0.56,0.04898979485566355,0.4,0.2,0.6,-0.024367430689853142,4,2
high_conflict_tradeoff_case,Adaptive weights + diversity,0.7927627290130148,0.07810448583610555,0.5595720864081077,0.06858406622013433,0.7940025717459029,0.06986788936104804,0.5606807885963165,0.06784786297595997,0.56,0.04898979485566355,0.4,0.2,0.6,-0.024367430689853142,4,2
high_conflict_tradeoff_case,Adaptive weights only,0.7927627290130148,0.07810448583610555,0.5595720864081077,0.06858406622013433,0.7940025717459029,0.06986788936104804,0.5606807885963165,0.06784786297595997,0.56,0.04898979485566355,0.4,0.2,0.6,-0.024367430689853142,4,2
high_conflict_tradeoff_case,Fixed Pareto-QAOA,0.8446557415900889,0.10175133183406448,0.5876039985282505,0.07212754409924897,0.8439396796617318,0.0745861840490705,0.5868541988396941,0.04996789271656886,0.45999999999999996,0.13564659966250533,0.0,0.0,0.0,0.0,4,2
high_conflict_tradeoff_case,Full AI-Adaptive Pareto-QAOA,0.7927627290130148,0.07810448583610555,0.5595720864081077,0.06858406622013433,0.7940025717459029,0.06986788936104804,0.5606807885963165,0.06784786297595997,0.56,0.04898979485566355,0.4,0.2,0.6,-0.024367430689853142,4,2
high_conflict_tradeoff_case,Replay-Adaptive Schedule,0.7865958665211151,0.09496930622313582,0.566979850266143,0.08524973697798181,0.7902046120698085,0.1070084415419983,0.569365846395357,0.09101929664710863,0.5599999999999999,0.11999999999999997,0.4,0.4,0.6,-0.08584651732139548,4,0
interference_dominated_case,Adaptive CVaR only,0.8355583991515043,0.03751513115347933,0.6016531729876149,0.04066902770100594,0.8066370468828202,0.030869536913455994,0.5803214178148615,0.028033254558395018,0.5599999999999999,0.11999999999999997,0.4,0.6,0.4,-0.008424083175096908,4,2
interference_dominated_case,Adaptive candidate diversity only,0.8272809469417531,0.03174505309206333,0.5995838099351771,0.03901121604392954,0.7991024013680594,0.03626235318593994,0.5784377564361713,0.028267838409983478,0.54,0.10198039027185568,0.4,0.4,0.4,-0.008424083175096908,0,2
interference_dominated_case,Adaptive resources only,0.8355583991515043,0.03751513115347933,0.6016531729876149,0.04066902770100594,0.8066370468828202,0.030869536913455994,0.5803214178148615,0.028033254558395018,0.5599999999999999,0.11999999999999997,0.4,0.6,0.4,-0.008424083175096908,4,2
interference_dominated_case,Adaptive weights + CVaR,0.8263902580961972,0.05512089706367115,0.5993611377237882,0.04370390311124148,0.7979388025106591,0.052464338913099574,0.5781468567218212,0.03268901365157538,0.5800000000000001,0.0748331477354788,0.6,0.6,0.6,0.0014936317686342626,1,2
interference_dominated_case,Adaptive weights + diversity,0.8204198116359421,0.05185186120704915,0.5978685261087244,0.04254773625269417,0.7924761707989489,0.05394772951325667,0.5767811987938937,0.032641480905622716,0.5800000000000001,0.0748331477354788,0.6,0.4,0.6,0.0014936317686342626,1,2
interference_dominated_case,Adaptive weights only,0.8263902580961972,0.05512089706367115,0.5993611377237882,0.04370390311124148,0.7979388025106591,0.052464338913099574,0.5781468567218212,0.03268901365157538,0.5800000000000001,0.0748331477354788,0.6,0.6,0.6,0.0014936317686342626,1,2
interference_dominated_case,Fixed Pareto-QAOA,0.8424807137832936,0.06238516707270709,0.5820592781523514,0.029259964376430563,0.8124597486704564,0.040586847335189,0.5619036638236607,0.024274197032451802,0.54,0.04898979485566354,0.0,0.0,0.0,0.0,4,1
interference_dominated_case,Full AI-Adaptive Pareto-QAOA,0.8204198116359421,0.05185186120704915,0.5978685261087244,0.04254773625269417,0.7924761707989489,0.05394772951325667,0.5767811987938937,0.032641480905622716,0.5800000000000001,0.0748331477354788,0.6,0.4,0.6,0.0014936317686342626,1,2
interference_dominated_case,Replay-Adaptive Schedule,0.8313854953197953,0.06431411817107294,0.6004725101148927,0.05029786683680207,0.8016693579352718,0.04370587620178795,0.5786329045426316,0.02890136768190197,0.6399999999999999,0.10198039027185571,0.2,0.6,0.8,-0.025861622021510877,4,3
main_dense_small_cell,Adaptive CVaR only,0.7954024234600038,0.08572280315552594,0.5545867437789099,0.07140378735359652,0.7776717701356046,0.08840446311992377,0.5427599981747543,0.07821450110164065,0.5,0.06324555320336757,0.2,0.2,0.2,-0.10567036015645337,4,2
main_dense_small_cell,Adaptive candidate diversity only,0.789142246103081,0.09086948061586587,0.5530216994396794,0.07188150473264636,0.7715900616862083,0.09345202222809754,0.5412395710624052,0.07870339804196055,0.5,0.06324555320336757,0.2,0.2,0.2,-0.1363953504324925,4,2
main_dense_small_cell,Adaptive resources only,0.7954024234600038,0.08572280315552594,0.5545867437789099,0.07140378735359652,0.7776717701356046,0.08840446311992377,0.5427599981747543,0.07821450110164065,0.5,0.06324555320336757,0.2,0.2,0.2,-0.10567036015645337,4,2
main_dense_small_cell,Adaptive weights + CVaR,0.8223251158211891,0.05403251309060303,0.5613174168692062,0.0619355056333802,0.8049796750685216,0.07137416542274136,0.5495869744079834,0.07168092886623528,0.4600000000000001,0.1019803902718557,0.2,0.2,0.4,-0.027231400239252634,3,0
main_dense_small_cell,Adaptive weights + diversity,0.8184423722314946,0.05361163003057927,0.5603467309717827,0.061970947916231804,0.8012076230722356,0.07139688687086763,0.5486439614089119,0.07176598946043547,0.44000000000000006,0.10198039027185568,0.2,0.2,0.4,-0.027231400239252634,3,0
main_dense_small_cell,Adaptive weights only,0.8223251158211891,0.05403251309060303,0.5613174168692062,0.0619355056333802,0.8049796750685216,0.07137416542274136,0.5495869744079834,0.07168092886623528,0.4600000000000001,0.1019803902718557,0.2,0.2,0.4,-0.027231400239252634,3,0
main_dense_small_cell,Fixed Pareto-QAOA,0.8855195225084824,0.04849665079506566,0.6282873746054676,0.03172629385337097,0.8647494872466289,0.034410261935407395,0.61441731247828,0.038560264060488784,0.48,0.116619037896906,0.0,0.0,0.0,0.0,4,2
main_dense_small_cell,Full AI-Adaptive Pareto-QAOA,0.8184423722314946,0.05361163003057927,0.5603467309717827,0.061970947916231804,0.8012076230722356,0.07139688687086763,0.5486439614089119,0.07176598946043547,0.44000000000000006,0.10198039027185568,0.2,0.2,0.4,-0.027231400239252634,3,0
main_dense_small_cell,Replay-Adaptive Schedule,0.8331224750295038,0.07100950086483901,0.5968826029772396,0.05617975500425657,0.8135200812445739,0.060677378569203376,0.582929964594026,0.050754268807782436,0.5199999999999999,0.15999999999999998,0.4,0.4,0.6,-0.03330640703987575,4,0
