case_name,method,hypervolume,pareto_size,best_throughput,best_interference,best_energy,feasibility_rate,objective_evaluations,runtime_seconds,hv_at_25pct,hv_at_50pct,hv_at_75pct,hv_at_100pct,final_hv,auc_hv,normalized_final_hv,normalized_auc_hv,evals_to_90pct_ref_hv,hv_per_valid_eval,hypervolume_reference,exact_pareto_size,exact_pareto_hv,direction_coverage,valid_sample_efficiency,hv_25,hv_50,hv_75,archive_size,evals_to_90_ref_hv,runtime,eval_budget,qaoa_seed_archive_fraction,qaoa_descendant_archive_fraction,seed
multi_seed_main,AI-Pareto-QAOA Ensemble,1324.2231690571582,49,21.141575169657884,1.8515884974692127,6.185284906234214,1.0,805,6.8436970710754395,1151.342644579053,1247.1834148711623,1323.3546706753534,1323.4336250736994,1324.2231690571582,1157.910841238847,0.9991064514207422,0.8736263030916777,120,1.6449977255368424,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.6,0.06086956521739131,1151.342644579053,1247.1834148711623,1323.3546706753534,49,120,6.8436970710754395,300,0.5,0.0,2
multi_seed_main,Random,1038.8661876002,18,16.325765386407966,2.2807644913805576,5.746533287189944,1.0,300,0.18983149528503418,859.5312779120885,888.575024690957,993.9506468069641,1038.8661876002,1038.8661876002,900.491960341126,0.781223083548665,0.6771662360034454,-1,3.4628872920006666,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.4,1.0,859.5312779120885,888.575024690957,993.9506468069641,18,-1,0.18983149528503418,300,0.0,0.0,3
multi_seed_main,Greedy,1101.6170433167972,21,17.620767205117115,2.1224982732631323,6.564745871429119,1.0,300,0.08625388145446777,1007.0407862002569,1087.7905835826316,1097.280934642769,1101.6170433167972,1101.6170433167972,1041.4903514816988,0.8284114679463516,0.7831964439522577,-1,3.672056811055991,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.6,1.0,1007.0407862002569,1087.7905835826316,1097.280934642769,21,-1,0.08625388145446777,300,0.0,0.0,3
multi_seed_main,Evolutionary MOO,967.6885546491703,20,16.068311348649633,2.7737643370105367,5.520782550709582,1.0,300,0.14077234268188477,832.369238671006,911.3191418868031,911.3191418868031,967.6885546491703,967.6885546491703,863.3945598427814,0.7276977974652393,0.649269144005578,-1,3.2256285154972346,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.8,1.0,832.369238671006,911.3191418868031,911.3191418868031,20,-1,0.14077234268188477,300,0.0,0.0,3
multi_seed_main,NSGA-II-style,1132.8697511182838,26,16.313173362331803,2.3259408316708683,5.040052464407376,1.0,300,1.1059825420379639,924.3274679088879,962.1252454070208,1051.342726709432,1132.8697511182838,1132.8697511182838,958.3781111923196,0.8519133751691891,0.7206963824289405,-1,3.7762325037276128,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.5,1.0,924.3274679088879,962.1252454070208,1051.342726709432,26,-1,1.1059825420379639,300,0.0,0.0,3
multi_seed_main,MOEA/D-style,1174.6763838056127,17,16.065864511881518,2.1224982732631323,5.040052464407376,1.0,300,0.754148006439209,870.7397097675955,1042.2205358197311,1112.1709682026396,1174.6763838056127,1174.6763838056127,978.2330982684476,0.8833517903285345,0.735627250728026,-1,3.915587946018709,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.6,1.0,870.7397097675955,1042.2205358197311,1112.1709682026396,17,-1,0.754148006439209,300,0.0,0.0,3
multi_seed_main,Classical-Seeded Evolutionary MOO,1126.7337482776777,25,17.620767205117115,2.1224982732631323,6.302375374650819,1.0,300,0.15377354621887207,1101.6170433167972,1125.5883610807646,1125.5883610807646,1126.7337482776777,1126.7337482776777,1098.6121745479431,0.8472991263688937,0.8261518190394159,-1,3.7557791609255924,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.6,1.0,1101.6170433167972,1125.5883610807646,1125.5883610807646,25,-1,0.15377354621887207,300,0.0,0.0,3
multi_seed_main,Quantum-Seeded Evolutionary MOO,1327.7492013359304,47,18.453019339705115,2.1224982732631323,4.8635798886083075,1.0,300,0.3504526615142822,1327.7492013359304,1327.7492013359304,1327.7492013359304,1327.7492013359304,1327.7492013359304,1295.8498679195384,0.9984619170665682,0.974473750051269,20,4.425830671119768,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.8,1.0,1327.7492013359304,1327.7492013359304,1327.7492013359304,47,20,0.3504526615142822,300,1.0,0.25,3
multi_seed_main,Fixed Pareto-QAOA,1327.5037612223061,42,18.453019339705115,2.1224982732631323,4.8635798886083075,1.0,400,3.3582217693328857,1215.4194426672366,1312.8591677760598,1327.5037612223061,1327.5037612223061,1327.5037612223061,1200.2102346929412,0.9982773471145564,0.9025531407653506,80,3.3187594030557652,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.8,0.105,1215.4194426672366,1312.8591677760598,1327.5037612223061,42,80,3.3582217693328857,300,0.0,0.0,3
multi_seed_main,AI-Adaptive Pareto-QAOA,1329.7945356161324,46,18.453019339705115,2.1224982732631323,4.8635798886083075,1.0,400,3.5106201171875,1187.6540298134944,1291.874038061187,1325.9493071693526,1329.590002188112,1329.7945356161324,1184.6634852023826,1.0,0.8908620493417004,120,3.324486339040331,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.8,0.115,1187.6540298134944,1291.874038061187,1325.9493071693526,46,120,3.5106201171875,300,0.0,0.0,3
multi_seed_main,AI-Pareto-QAOA Ensemble,1329.7945356161324,47,18.453019339705115,2.1224982732631323,4.8635798886083075,1.0,800,6.868841886520386,1192.5832854287812,1312.8591677760598,1327.5037612223061,1329.590002188112,1329.7945356161324,1198.3824217134381,1.0,0.9011786329518889,80,1.6622431695201656,"[-2.377408236047589, 15.25020076674148, 12.617084811737666]",48,1329.7945356161324,0.8,0.05875,1192.5832854287812,1312.8591677760598,1327.5037612223061,47,80,6.868841886520386,300,0.5,0.0,3
