case_name,seed,method,final_hv,normalized_final_hv,auc_hv,normalized_auc_hv,hv_25,hv_50,hv_75,archive_size,direction_coverage,feasibility_rate,valid_sample_efficiency,duplicate_rate_mean,runtime,eval_budget,wins_final_hv_against_fixed,wins_auc_hv_against_fixed,wins_coverage_against_fixed
main_dense_small_cell,4,Adaptive candidate diversity only,0.9106164765322571,0.8449694865908964,0.6115526966533721,0.567465427467667,0.38389857752030776,0.7677971550406155,0.8392068157864363,12,0.5,1.0,1.0,0.0,0.050507307052612305,300,False,False,False
main_dense_small_cell,4,Adaptive resources only,0.9106164765322571,0.8449694865908964,0.6115526966533721,0.567465427467667,0.38389857752030776,0.7677971550406155,0.8392068157864363,12,0.5,1.0,1.0,0.0,0.048249244689941406,300,False,False,False
main_dense_small_cell,4,Adaptive weights + CVaR,0.859389774400274,0.7974357538771625,0.5987460211203761,0.5555819942892334,0.38389857752030776,0.7677971550406155,0.8135934647204448,8,0.6,1.0,0.7,0.0,0.05183553695678711,300,False,False,True
main_dense_small_cell,4,Adaptive weights + diversity,0.859389774400274,0.7974357538771625,0.5987460211203761,0.5555819942892334,0.38389857752030776,0.7677971550406155,0.8135934647204448,8,0.6,1.0,0.7,0.0,0.05599570274353027,300,False,False,True
main_dense_small_cell,4,Full AI-Adaptive Pareto-QAOA,0.859389774400274,0.7974357538771625,0.5987460211203761,0.5555819942892334,0.38389857752030776,0.7677971550406155,0.8135934647204448,8,0.6,1.0,0.7,0.0,0.0541534423828125,300,False,False,True
main_dense_small_cell,4,Replay-Adaptive Schedule,0.9276920439095847,0.860814064162141,0.6485849562923646,0.6018280051508875,0.41666194531496825,0.8333238906299365,0.8805079672697607,14,0.4,1.0,1.0,0.0,0.0413360595703125,300,False,False,False
high_conflict_tradeoff_case,0,Fixed Pareto-QAOA,0.865583130981043,0.858494446729741,0.5690517342545471,0.564391490862079,0.3526559515092865,0.7053119030185732,0.7854475169998081,6,0.3,1.0,0.3,0.0,0.04783821105957031,400,False,False,False
high_conflict_tradeoff_case,0,Adaptive weights only,0.7196504010470085,0.7137568314038902,0.5093721799605742,0.5052006816712701,0.32945957969882195,0.6589191593976439,0.6892847802223262,13,0.5,1.0,1.0,0.0,0.040409088134765625,400,False,False,True
high_conflict_tradeoff_case,0,Adaptive CVaR only,0.6916844048923743,0.6860198624904508,0.5023806809219156,0.49826643944291016,0.32945957969882195,0.6589191593976439,0.6753017821450091,18,0.6,1.0,1.0,0.0,0.044793128967285156,400,False,False,True
high_conflict_tradeoff_case,0,Adaptive candidate diversity only,0.6916844048923743,0.6860198624904508,0.5023806809219156,0.49826643944291016,0.32945957969882195,0.6589191593976439,0.6753017821450091,18,0.6,1.0,1.0,0.0,0.0458681583404541,400,False,False,True
